-48.7184878890783,-22.0666241091805
-48.6914878890783,-22.0666241091805
-48.7049878890783,-22.0432414341805
-48.7319878890783,-22.0432414341805
-48.7454878890783,-22.0666241091805
-48.7319878890783,-22.0900067841805
-48.7049878890783,-22.0900067841805
-48.6644878890783,-22.0666241091805
-48.6914878890783,-22.0198587591805
-48.7454878890783,-22.0198587591805
-48.7724878890783,-22.0666241091805
-48.7454878890783,-22.1133894591805
-48.6914878890783,-22.1133894591805
-48.6779878890783,-22.0432414341805
-48.7184878890783,-22.0198587591805
-48.7589878890783,-22.0432414341805
-48.7589878890783,-22.0900067841805
-48.7184878890783,-22.1133894591805
-48.6779878890783,-22.0900067841805
-48.6374878890783,-22.0666241091805
-48.6779878890783,-21.9964760841805
-48.7994878890783,-22.0666241091805
-48.6779878890783,-22.1367721341805
-48.6509878890783,-22.0432414341805
-48.6644878890783,-22.0198587591805
-48.7049878890783,-21.9964760841805
-48.7319878890783,-21.9964760841805
-48.7859878890783,-22.0432414341805
-48.7859878890783,-22.0900067841805
-48.7319878890783,-22.1367721341805
-48.7049878890783,-22.1367721341805
-48.6644878890783,-22.1133894591805
-48.6509878890783,-22.0900067841805
-48.6644878890783,-21.9730934091805
-48.8264878890783,-22.0666241091805
-48.6644878890783,-22.1601548091805
-48.6239878890783,-22.0432414341805
-48.6374878890783,-22.0198587591805
-48.6509878890783,-21.9964760841805
-48.6914878890783,-21.9730934091805
-48.7994878890783,-22.0198587591805
-48.8129878890783,-22.0432414341805
-48.8129878890783,-22.0900067841805
-48.7994878890783,-22.1133894591805
-48.7454878890783,-22.1601548091805
-48.7184878890783,-22.1601548091805
-48.6914878890783,-22.1601548091805
-48.6509878890783,-22.1367721341805
-48.6239878890783,-22.0900067841805
-48.6239878890783,-21.9964760841805
-48.6374878890783,-21.9730934091805
-48.6779878890783,-21.9497107341805
-48.8264878890783,-22.0198587591805
-48.8399878890783,-22.0432414341805
-48.8399878890783,-22.0900067841805
-48.8264878890783,-22.1133894591805
-48.7049878890783,-22.1835374841805
-48.6779878890783,-22.1835374841805
-48.6374878890783,-22.1601548091805
-48.8534878890783,-22.0198587591805
-48.8534878890783,-22.1133894591805
