-48.7792505724522,-21.1854331044701
-48.7522505724522,-21.1854331044701
-48.7657505724522,-21.1620504294701
-48.7927505724522,-21.1620504294701
-48.8062505724522,-21.1854331044701
-48.7927505724522,-21.2088157794701
-48.7657505724522,-21.2088157794701
-48.7522505724522,-21.1386677544701
-48.8332505724522,-21.1854331044701
-48.7522505724522,-21.2321984544701
-48.7387505724522,-21.1620504294701
-48.7792505724522,-21.1386677544701
-48.8197505724522,-21.1620504294701
-48.8197505724522,-21.2088157794701
-48.7387505724522,-21.2088157794701
-48.8332505724522,-21.1386677544701
-48.8467505724522,-21.1620504294701
-48.8467505724522,-21.2088157794701
-48.7252505724522,-21.2321984544701
-48.7117505724522,-21.2088157794701
