-49.4747939797624,-29.0188720711970
-49.4477939797624,-29.0188720711970
-49.4612939797624,-28.9954893961970
-49.5017939797624,-29.0188720711970
-49.4882939797624,-29.0422547461970
-49.4477939797624,-28.9721067211970
-49.5017939797624,-29.0656374211970
-49.4342939797624,-28.9954893961970
-49.5152939797624,-29.0422547461970
-49.5152939797624,-29.0890200961970
-49.4207939797624,-28.9721067211970
-49.5422939797624,-29.0422547461970
-49.5287939797624,-29.0656374211970
-49.3937939797624,-28.9721067211970
-49.4072939797624,-28.9487240461970
